product_id,product_title,brand,category,price,discount_percent,stock_available,rating,total_reviews,lifetime_sales
1,HP Victus Gaming Laptop,HP,Electronics,79999.0,15,45,4.6,12543,52000
2,Dell G15 Gaming Laptop,Dell,Electronics,82999.0,10,31,4.5,9842,41000
3,Lenovo Legion 5,Lenovo,Electronics,89999.0,18,27,4.8,15021,63000
4,Asus TUF A15,Asus,Electronics,75999.0,12,50,4.4,8523,39000
5,Apple MacBook Air M3,Apple,Electronics,114999.0,5,20,4.9,20034,89000
6,HP Gaming Laptop 16 inch,HP,Laptop,52676.0,16,826,4.0,45092,316626
7,HP Gaming Laptop 16 inch,HP,Laptop,110284.0,35,300,3.7,49625,41413
8,MSI Gaming Laptop 17 inch,MSI,Laptop,87400.0,2,677,4.4,92359,36566
9,Dell Gaming Laptop 15 inch,Dell,Laptop,50458.0,17,464,4.8,13248,199395
10,MSI Gaming Laptop 15 inch,MSI,Laptop,61319.0,17,718,4.1,27470,351464
11,MSI Gaming Laptop 13 inch,MSI,Laptop,119840.0,15,167,4.5,70020,382372
12,Asus Gaming Laptop 16 inch,Asus,Laptop,75382.0,35,224,5.0,83896,360895
13,MSI Gaming Laptop 15 inch,MSI,Laptop,140704.0,2,824,4.7,30031,430961
14,Lenovo Gaming Laptop 16 inch,Lenovo,Laptop,75093.0,45,322,3.6,74351,459569
15,Dell Gaming Laptop 16 inch,Dell,Laptop,91856.0,9,271,4.8,84269,240670
16,Dell Gaming Laptop 14 inch,Dell,Laptop,137647.0,37,438,4.3,34448,391750
17,Acer Gaming Laptop 16 inch,Acer,Laptop,87447.0,31,93,3.8,18141,267238
18,HP Gaming Laptop 13 inch,HP,Laptop,60033.0,38,65,4.4,89202,221433
19,Asus Gaming Laptop 16 inch,Asus,Laptop,118104.0,35,881,5.0,69362,131913
20,HP Gaming Laptop 13 inch,HP,Laptop,129353.0,49,656,4.8,98429,139993
21,Lenovo Gaming Laptop 13 inch,Lenovo,Laptop,78469.0,46,896,4.2,59480,1801
22,MSI Gaming Laptop 15 inch,MSI,Laptop,105612.0,6,891,4.6,66552,478579
23,MSI Gaming Laptop 15 inch,MSI,Laptop,123748.0,23,780,4.3,26081,80231
24,Dell Gaming Laptop 17 inch,Dell,Laptop,142056.0,20,500,4.9,84,314119
25,HP Gaming Laptop 13 inch,HP,Laptop,87576.0,3,246,4.8,40316,125641
26,Acer Gaming Laptop 13 inch,Acer,Laptop,51226.0,34,784,4.6,9081,398874
27,Dell Gaming Laptop 14 inch,Dell,Laptop,126474.0,16,540,4.2,72073,86674
28,Acer Gaming Laptop 16 inch,Acer,Laptop,67760.0,44,205,4.9,99004,382794
29,MSI Gaming Laptop 15 inch,MSI,Laptop,92296.0,28,921,5.0,85190,195879
30,Acer Gaming Laptop 16 inch,Acer,Laptop,55860.0,1,602,3.9,8402,177354
31,Acer Gaming Laptop 14 inch,Acer,Laptop,117128.0,40,60,3.8,9315,371212
32,Dell Gaming Laptop 13 inch,Dell,Laptop,44117.0,15,285,4.8,9297,269665
33,MSI Gaming Laptop 16 inch,MSI,Laptop,68080.0,36,590,4.3,94821,490578
34,Asus Gaming Laptop 14 inch,Asus,Laptop,142841.0,6,99,4.2,53364,99929
35,MSI Gaming Laptop 16 inch,MSI,Laptop,86438.0,46,55,4.1,61223,452999
36,MSI Gaming Laptop 13 inch,MSI,Laptop,47944.0,6,254,4.1,44483,419841
37,Dell Gaming Laptop 14 inch,Dell,Laptop,110292.0,17,473,4.2,55306,96300
38,Dell Gaming Laptop 13 inch,Dell,Laptop,98082.0,3,667,4.7,72142,51432
39,Acer Gaming Laptop 13 inch,Acer,Laptop,52224.0,26,497,4.9,30992,87294
40,Asus Gaming Laptop 14 inch,Asus,Laptop,92565.0,0,399,4.9,21589,198791
41,Lenovo Gaming Laptop 16 inch,Lenovo,Laptop,77388.0,35,677,4.1,95758,410807
42,MSI Gaming Laptop 16 inch,MSI,Laptop,60289.0,37,753,3.8,28544,30762
43,Acer Gaming Laptop 13 inch,Acer,Laptop,138038.0,30,514,4.0,6582,306377
44,Acer Gaming Laptop 14 inch,Acer,Laptop,47455.0,11,70,4.9,10510,446448
45,Acer Gaming Laptop 13 inch,Acer,Laptop,128501.0,36,252,4.8,52933,62955
46,Acer Gaming Laptop 17 inch,Acer,Laptop,45209.0,37,578,4.4,54958,344752
47,Acer Gaming Laptop 15 inch,Acer,Laptop,74179.0,15,271,3.8,93882,164822
48,Asus Gaming Laptop 14 inch,Asus,Laptop,128039.0,48,958,4.5,59939,165867
49,HP Gaming Laptop 13 inch,HP,Laptop,100068.0,4,550,4.4,73802,52518
50,Dell Gaming Laptop 17 inch,Dell,Laptop,74760.0,4,900,3.7,45755,461926
51,Dell Gaming Laptop 15 inch,Dell,Laptop,77353.0,19,626,3.7,71210,368957
52,MSI Gaming Laptop 17 inch,MSI,Laptop,41025.0,42,106,4.5,72702,157060
53,Dell Gaming Laptop 15 inch,Dell,Laptop,55129.0,9,278,4.8,97320,290148
54,Lenovo Gaming Laptop 17 inch,Lenovo,Laptop,67607.0,40,873,4.6,26695,360546
55,Lenovo Gaming Laptop 17 inch,Lenovo,Laptop,104032.0,40,433,3.9,6668,48490
56,Lenovo Gaming Laptop 13 inch,Lenovo,Laptop,40464.0,16,165,4.0,17156,334130
57,MSI Gaming Laptop 16 inch,MSI,Laptop,112309.0,7,77,4.6,73529,5169
58,MSI Gaming Laptop 14 inch,MSI,Laptop,111511.0,35,151,3.6,48403,305502
59,Asus Gaming Laptop 14 inch,Asus,Laptop,45482.0,22,215,4.0,5239,471395
60,MSI Gaming Laptop 14 inch,MSI,Laptop,127416.0,26,997,3.7,73395,463641
61,Acer Gaming Laptop 14 inch,Acer,Laptop,71029.0,26,25,4.8,23216,462215
62,Dell Gaming Laptop 15 inch,Dell,Laptop,142548.0,47,830,4.9,87816,453118
63,Dell Gaming Laptop 15 inch,Dell,Laptop,60866.0,2,879,4.7,14178,200662
64,Asus Gaming Laptop 14 inch,Asus,Laptop,66158.0,19,840,4.7,60342,183421
65,Dell Gaming Laptop 14 inch,Dell,Laptop,43101.0,17,885,4.5,52237,172203
66,HP Gaming Laptop 15 inch,HP,Laptop,86025.0,34,339,4.5,52396,356363
67,HP Gaming Laptop 13 inch,HP,Laptop,74237.0,6,610,3.8,34805,20157
68,Asus Gaming Laptop 15 inch,Asus,Laptop,135491.0,32,118,4.7,57209,317928
69,Asus Gaming Laptop 17 inch,Asus,Laptop,64914.0,0,532,3.9,92911,228719
70,Acer Gaming Laptop 14 inch,Acer,Laptop,87739.0,21,638,4.1,87072,482849
71,Lenovo Gaming Laptop 13 inch,Lenovo,Laptop,134339.0,42,418,4.9,66479,162254
72,Lenovo Gaming Laptop 16 inch,Lenovo,Laptop,131384.0,26,680,3.9,16693,100679
73,Asus Gaming Laptop 14 inch,Asus,Laptop,120676.0,0,311,4.4,53235,287376
74,Lenovo Gaming Laptop 14 inch,Lenovo,Laptop,96346.0,20,476,4.7,79526,343354
75,Asus Gaming Laptop 16 inch,Asus,Laptop,128555.0,50,753,3.8,62031,416245
76,Dell Gaming Laptop 13 inch,Dell,Laptop,77196.0,21,95,4.3,82970,324771
77,Dell Gaming Laptop 15 inch,Dell,Laptop,69444.0,2,250,4.7,19323,12905
78,Asus Gaming Laptop 17 inch,Asus,Laptop,140727.0,40,589,3.6,54331,464690
79,Dell Gaming Laptop 16 inch,Dell,Laptop,104799.0,44,5,4.1,19352,344063
80,HP Gaming Laptop 16 inch,HP,Laptop,68683.0,29,51,3.8,91224,271659
81,Acer Gaming Laptop 14 inch,Acer,Laptop,55906.0,33,572,4.2,60911,350102
82,Acer Gaming Laptop 15 inch,Acer,Laptop,138992.0,46,913,4.8,80311,427398
83,Acer Gaming Laptop 16 inch,Acer,Laptop,148864.0,10,761,4.9,58456,470495
84,Asus Gaming Laptop 16 inch,Asus,Laptop,73972.0,49,796,4.6,83589,145491
85,Acer Gaming Laptop 16 inch,Acer,Laptop,122149.0,45,292,3.9,57664,40723
86,Dell Gaming Laptop 15 inch,Dell,Laptop,84020.0,8,154,4.0,70808,42345
87,Dell Gaming Laptop 16 inch,Dell,Laptop,130957.0,26,417,3.7,28053,33774
88,Lenovo Gaming Laptop 17 inch,Lenovo,Laptop,101069.0,26,398,4.1,27120,436774
89,Acer Gaming Laptop 13 inch,Acer,Laptop,140348.0,22,305,4.4,62528,3191
90,Asus Gaming Laptop 16 inch,Asus,Laptop,110545.0,38,919,4.6,71592,419461
91,Dell Gaming Laptop 16 inch,Dell,Laptop,68760.0,24,344,3.9,63664,15317
92,MSI Gaming Laptop 16 inch,MSI,Laptop,134919.0,8,637,3.7,61271,482204
93,Acer Gaming Laptop 13 inch,Acer,Laptop,91645.0,5,658,4.4,86910,14309
94,Asus Gaming Laptop 14 inch,Asus,Laptop,100515.0,20,216,3.8,34109,198859
95,Asus Gaming Laptop 15 inch,Asus,Laptop,84236.0,48,974,4.6,49702,145986
96,Asus Gaming Laptop 15 inch,Asus,Laptop,149433.0,34,53,3.6,2550,392804
97,Lenovo Gaming Laptop 14 inch,Lenovo,Laptop,125215.0,48,31,3.6,85436,21206
98,Dell Gaming Laptop 14 inch,Dell,Laptop,149999.0,8,484,3.5,19983,125166
99,MSI Gaming Laptop 13 inch,MSI,Laptop,113920.0,16,785,4.9,60962,366821
100,Lenovo Gaming Laptop 14 inch,Lenovo,Laptop,119415.0,7,796,4.4,98042,376726
101,Dell Gaming Laptop 15 inch,Dell,Laptop,54168.0,43,929,4.4,40898,301983
102,Asus Gaming Laptop 16 inch,Asus,Laptop,133718.0,40,248,3.8,77617,362180
103,HP Gaming Laptop 15 inch,HP,Laptop,129687.0,36,801,4.4,15876,417552
104,HP Gaming Laptop 15 inch,HP,Laptop,109827.0,32,663,4.1,48581,36253
105,Lenovo Gaming Laptop 13 inch,Lenovo,Laptop,95057.0,23,650,4.7,13843,227391
106,Asus Gaming Laptop 14 inch,Asus,Laptop,97080.0,17,630,3.8,68396,341127
